Img Names,Acc,STD_Red,STD_Green,STD_Blue,Luxes
NO_IR_protoboard_1.jpg,0.95128065,56.41222478983918,56.149319926784926,56.50015503389787,1613.0
NO_IR_protoboard_2.jpg,0.94936997,18.780731253458125,18.255560662733362,19.346645763028278,1558.0
NO_IR_protoboard_3.jpg,0.954415,57.703275186439754,57.7198859088352,58.326312656176945,1503.0
NO_IR_protoboard_4.jpg,0.95521486,22.927107179111367,22.65172745961098,22.486532204271512,1448.0
NO_IR_protoboard_5.jpg,0.95930874,19.709819131778584,19.728396718426165,20.104228034914602,1393.0
NO_IR_protoboard_6.jpg,0.9438529,49.790361473933494,49.70372517303456,49.87077268460609,1338.0
NO_IR_protoboard_7.jpg,0.9568193,53.29506567476518,53.23593058909853,53.2464905886218,1283.0
NO_IR_protoboard_8.jpg,0.93479013,56.83854967737621,56.90310358988034,56.85679358130001,1226.0
NO_IR_protoboard_9.jpg,0.922515,59.02268871502689,59.10954433500114,59.36961685172878,1171.0
NO_IR_protoboard_10.jpg,0.94610393,58.598503864298515,58.78624515614007,59.33454254926173,1108.0
NO_IR_protoboard_11.jpg,0.9434559,22.80847376188513,22.727208977446313,22.918672240361687,1047.0
NO_IR_protoboard_12.jpg,0.97050005,22.06026635092883,21.824451555864712,21.67847558881563,983.0
NO_IR_protoboard_13.jpg,0.9418076,27.03411918872051,26.120648865847738,24.859483943868995,927.0
NO_IR_protoboard_14.jpg,0.9375192,48.15371503331682,48.27180539122409,48.468218285528835,860.0
NO_IR_protoboard_15.jpg,0.9620077,52.92445679743254,53.007838702357446,53.150004749051824,790.0
NO_IR_protoboard_16.jpg,0.9737977,60.58768193216286,60.51880535576124,60.52046280168576,719.0
NO_IR_protoboard_17.jpg,0.98274827,35.86032150509317,35.75599233623817,35.477662193227275,649.0
NO_IR_protoboard_18.jpg,0.9418763,21.959807306591195,19.263292820103565,17.28494440521549,574.0
NO_IR_protoboard_19.jpg,0.95880973,21.395047640500774,21.62120497130581,21.837843783352586,494.0
NO_IR_protoboard_20.jpg,0.9890284,52.470467422096235,52.52379799911623,52.68211762320118,416.0
NO_IR_protoboard_21.jpg,0.99042696,58.630032744123575,58.57418210793243,58.670978655111355,337.6
NO_IR_protoboard_22.jpg,0.9846095,65.38370639274089,65.34711417107856,65.29527590872694,256.1
NO_IR_protoboard_23.jpg,0.9438343,52.26163745600858,53.363549359847596,53.854517699839406,173.4
NO_IR_protoboard_24.jpg,0.9550995,46.00260168979268,46.8911789142271,48.91260054740076,88.1
