Origin Img Path,Trimmed_Imgs Names,STD Red Origin,STD Red Trimmed,STD Green Origin,STD Green Trimmed,STD Blue Origin,STD Blue Trimmed,Accuracy,Luxes
new_images/NORMAL/airbuds/airbuds_1.jpg,NORMAL_airbuds_1.jpg,38.1914255120032,74.09800185974613,38.36893711279862,77.9316156918263,38.55565151685145,70.37753464345376,0.97251725,1613.0
new_images/NORMAL/airbuds/airbuds_10.jpg,NORMAL_airbuds_10.jpg,36.81974903867262,71.71494748985691,36.65670821732697,72.06972678368692,37.002855968511255,75.77077024502371,0.98176116,1108.0
new_images/NORMAL/airbuds/airbuds_11.jpg,NORMAL_airbuds_11.jpg,35.73433997748585,71.23313415816406,35.92651804157788,70.30276228880344,36.08357900758895,74.28165016775516,0.97881854,1047.0
new_images/NORMAL/airbuds/airbuds_12.jpg,NORMAL_airbuds_12.jpg,36.51316537441971,71.06056746647336,36.42308851309237,74.63745032730955,36.63230365147738,67.26825637979854,0.9605865,983.0
new_images/NORMAL/airbuds/airbuds_13.jpg,NORMAL_airbuds_13.jpg,32.63290074353642,64.80961717258846,32.79887132457297,63.93480330800136,32.767527815619175,65.04585364501722,0.9573718,927.0
new_images/NORMAL/airbuds/airbuds_14.jpg,NORMAL_airbuds_14.jpg,37.13269807850631,72.40809253329554,37.2373664193788,72.08546627207309,37.358782222953934,75.31858693991332,0.9817078,860.0
new_images/NORMAL/airbuds/airbuds_15.jpg,NORMAL_airbuds_15.jpg,31.97702999105157,63.92735570074202,32.13942235224215,63.72106261719011,31.90669254750463,67.82987361263285,0.9792731,790.0
new_images/NORMAL/airbuds/airbuds_16.jpg,NORMAL_airbuds_16.jpg,30.68055240399109,62.68018367561056,30.819929135628367,63.15912839304251,30.89992808333954,66.55461888827834,0.9839522,719.0
new_images/NORMAL/airbuds/airbuds_17.jpg,NORMAL_airbuds_17.jpg,31.01069700914598,63.22530229681391,30.985521862704957,62.09641861709241,31.01602961183047,66.75082666769211,0.9799709,649.0
new_images/NORMAL/airbuds/airbuds_18.jpg,NORMAL_airbuds_18.jpg,29.57627445778912,60.66066518213512,29.564888583586384,60.01605170465883,29.63486219620596,62.88502562109015,0.9806669,574.0
new_images/NORMAL/airbuds/airbuds_19.jpg,NORMAL_airbuds_19.jpg,31.58846032362584,61.03146651484665,31.38803033947529,60.01784823392975,31.52033012101079,61.30317270087646,0.97972274,494.0
new_images/NORMAL/airbuds/airbuds_2.jpg,NORMAL_airbuds_2.jpg,37.98995404464242,72.86102421413952,38.10154672259803,73.41863583565224,38.523921114951264,76.68284997288094,0.9829636,1558.0
new_images/NORMAL/airbuds/airbuds_20.jpg,NORMAL_airbuds_20.jpg,36.029162564141046,68.38991010169357,36.255507005066754,68.60093108225892,36.17089666336873,67.84498863482354,0.9688624,416.0
new_images/NORMAL/airbuds/airbuds_21.jpg,NORMAL_airbuds_21.jpg,32.952259055071806,62.04122882466203,32.78691539299869,62.1938934139933,32.82260399988601,62.12930716922446,0.97895706,337.6
new_images/NORMAL/airbuds/airbuds_22.jpg,NORMAL_airbuds_22.jpg,19.031449311227,42.14486199171897,18.78821701932975,41.897617151249904,18.85890306530019,41.71310956939193,0.93205386,256.1
new_images/NORMAL/airbuds/airbuds_23.jpg,NORMAL_airbuds_23.jpg,32.885498487972924,61.79951473033927,33.00178042305932,62.16981481734764,32.473815544029534,61.30382391934286,0.98370373,173.4
new_images/NORMAL/airbuds/airbuds_24.jpg,NORMAL_airbuds_24.jpg,39.48395770669923,73.40441181778512,39.57817422519639,73.66975967456159,39.60880211343321,72.88762413697447,0.982147,88.1
new_images/NORMAL/airbuds/airbuds_25.jpg,NORMAL_airbuds_25.jpg,38.22789968508029,71.5204879287017,38.312850707314745,70.96245962809071,38.10296493736081,70.47254374081761,0.9740794,175.1
new_images/NORMAL/airbuds/airbuds_26.jpg,NORMAL_airbuds_26.jpg,29.99641117133385,61.56145694437656,30.00659758182357,61.34513041285884,30.06725020862441,64.1060755394238,0.9835031,260.9
new_images/NORMAL/airbuds/airbuds_27.jpg,NORMAL_airbuds_27.jpg,32.23778299287227,65.07817007143058,32.08041526382145,64.56205410476787,32.13684567475221,67.54901069644298,0.983377,344.7
new_images/NORMAL/airbuds/airbuds_28.jpg,NORMAL_airbuds_28.jpg,34.093555924185374,67.55087047718328,34.16440707862425,66.91913378158426,34.47930135925353,72.70173736933246,0.96429855,428.0
new_images/NORMAL/airbuds/airbuds_29.jpg,NORMAL_airbuds_29.jpg,33.25025496949257,66.02579957111257,33.2609056812945,66.60725818854102,33.25655173081977,69.66287011306164,0.9774527,510.0
